model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost
dummy_prior,median_all,0.14,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.15,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.16,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.17,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.18,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.19,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.2,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.21,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.22,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.23,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.24,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.25,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.26,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.27,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.28,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.29,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.3,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,median_all,0.31,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
