threshold,predicted_positive_count,predicted_negative_count,tp,fp,tn,fn,precision_score,recall_score,f1_score,f2_score,fp_cost,fn_cost,total_cost,workload_rate
0.61,490,15510,338,152,15473,37,0.689795918367347,0.9013333333333333,0.7815028901734103,0.8492462311557788,10,500,20020,0.030625
0.62,488,15512,338,150,15475,37,0.6926229508196722,0.9013333333333333,0.7833140208574739,0.8501006036217303,10,500,20000,0.0305
0.63,487,15513,338,149,15476,37,0.6940451745379876,0.9013333333333333,0.7842227378190255,0.8505284348263714,10,500,19990,0.0304375
0.64,484,15516,338,146,15479,37,0.6983471074380165,0.9013333333333333,0.7869615832363214,0.8518145161290323,10,500,19960,0.03025
0.65,482,15518,337,145,15480,38,0.6991701244813278,0.8986666666666666,0.7864644107351225,0.850151362260343,10,500,20450,0.030125
0.66,476,15524,336,140,15485,39,0.7058823529411765,0.896,0.7896592244418331,0.8502024291497976,10,500,20900,0.02975
0.67,471,15529,335,136,15489,40,0.7112526539278131,0.8933333333333333,0.7919621749408983,0.8498224251648909,10,500,21360,0.0294375
0.68,468,15532,334,134,15491,41,0.7136752136752137,0.8906666666666667,0.7924080664294187,0.8485772357723578,10,500,21840,0.02925
0.69,463,15537,333,130,15495,42,0.7192224622030238,0.888,0.7947494033412889,0.848191543555782,10,500,22300,0.0289375
0.7,455,15545,331,124,15501,44,0.7274725274725274,0.8826666666666667,0.7975903614457831,0.8465473145780051,10,500,23240,0.0284375
0.71,451,15549,330,121,15504,45,0.7317073170731707,0.88,0.7990314769975787,0.8457201435161456,10,500,23710,0.0281875
0.72,443,15557,325,118,15507,50,0.7336343115124153,0.8666666666666667,0.7946210268948655,0.8363355635615028,10,500,26180,0.0276875
0.73,437,15563,325,112,15513,50,0.7437070938215103,0.8666666666666667,0.8004926108374385,0.8389261744966443,10,500,26120,0.0273125
0.74,436,15564,325,111,15514,50,0.7454128440366973,0.8666666666666667,0.8014796547472256,0.8393595041322314,10,500,26110,0.02725
0.75,432,15568,324,108,15517,51,0.75,0.864,0.8029739776951673,0.8385093167701863,10,500,26580,0.027
0.76,429,15571,324,105,15520,51,0.7552447552447552,0.864,0.8059701492537312,0.8398133748055987,10,500,26550,0.0268125
0.77,422,15578,321,101,15524,54,0.7606635071090048,0.856,0.8055207026348808,0.8350676378772112,10,500,28010,0.026375
0.78,416,15584,320,96,15529,55,0.7692307692307693,0.8533333333333334,0.8091024020227561,0.8350730688935282,10,500,28460,0.026
0.79,409,15591,319,90,15535,56,0.7799511002444988,0.8506666666666667,0.8137755102040817,0.8355159769512834,10,500,28900,0.0255625
0.8,404,15596,316,88,15537,59,0.7821782178217822,0.8426666666666667,0.8112965340179717,0.8298319327731092,10,500,30380,0.02525
0.81,397,15603,315,82,15543,60,0.7934508816120907,0.84,0.816062176165803,0.8302583025830258,10,500,30820,0.0248125
0.82,391,15609,314,77,15548,61,0.80306905370844,0.8373333333333334,0.8198433420365535,0.8302485457429932,10,500,31270,0.0244375
